undefined | 2022-03-28 21:32:19 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2022-03-28 21:32:19 info: NAME : inUser_ID, VALUE : muindo12342341
undefined | 2022-03-28 21:32:19 info: NAME : inUser_Pwd, VALUE : 111
undefined | 2022-03-28 21:32:19 info: NAME : inUser_IP, VALUE : ::1
undefined | 2022-03-28 21:32:19 info: NAME : sessionID, VALUE : tCLgdWbNXVtGMSjKpJ05FROFKsguul2c
undefined | 2022-03-28 21:32:19 info: during time : 103
undefined | 2022-03-28 21:32:19 info: SP_MEMBER_LOGIN callProcedureSync success
undefined | 2022-03-28 22:04:50 error: create connection pool failed.. : ConnectionError: Failed to connect to localhost:1433 - Could not connect (sequence)
undefined | 2022-03-28 22:32:20 info: URL : /
undefined | 2022-03-28 22:32:20 info: Create a key attempt : _XCXA5LLtE9flc6_jDxnn56BxVChNVKH
undefined | 2022-03-28 22:33:42 info: URL : /
undefined | 2022-03-28 22:33:42 info: Create a key attempt : yKIpilzgv8_S9hajr2_sK_chbEtmSY03
undefined | 2022-03-28 22:33:45 info: URL : /lang?num=1
undefined | 2022-03-28 22:33:45 info: URL : /
undefined | 2022-03-28 22:34:08 info: URL : /api/user/signin
undefined | 2022-03-28 22:34:08 info: start decryptAll..
undefined | 2022-03-28 22:34:08 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2022-03-28 22:34:08 info: NAME : inUser_ID, VALUE : pgk5034
undefined | 2022-03-28 22:34:08 info: NAME : inUser_Pwd, VALUE : 000
undefined | 2022-03-28 22:34:08 info: NAME : inUser_IP, VALUE : 122.46.244.22
undefined | 2022-03-28 22:34:08 info: NAME : sessionID, VALUE : yKIpilzgv8_S9hajr2_sK_chbEtmSY03
undefined | 2022-03-28 22:34:08 info: during time : 68
undefined | 2022-03-28 22:34:08 info: SP_MEMBER_LOGIN callProcedureSync success
undefined | 2022-03-28 22:34:08 info: URL : /main
undefined | 2022-03-28 22:34:08 info: URL : /api/common/getMyDash
undefined | 2022-03-28 22:34:08 info: start decryptAll..
undefined | 2022-03-28 22:34:08 info: callProcedureSync start - SP_MY_DASHBOARD
undefined | 2022-03-28 22:34:08 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:08 info: during time : 55
undefined | 2022-03-28 22:34:08 info: SP_MY_DASHBOARD callProcedureSync success
undefined | 2022-03-28 22:34:25 info: URL : /org
undefined | 2022-03-28 22:34:29 info: URL : /org
undefined | 2022-03-28 22:34:31 info: URL : /getWebOrg/pgk5034/1/5/0
undefined | 2022-03-28 22:34:31 info: callProcedureSync start - WEB_ORG
undefined | 2022-03-28 22:34:31 info: NAME : myuid, VALUE : pgk5034
undefined | 2022-03-28 22:34:31 info: NAME : gs_IP, VALUE :  
undefined | 2022-03-28 22:34:31 info: NAME : gs_date1, VALUE :  
undefined | 2022-03-28 22:34:31 info: NAME : gs_date2, VALUE :  
undefined | 2022-03-28 22:34:31 info: NAME : gsuid, VALUE : pgk5034
undefined | 2022-03-28 22:34:31 info: NAME : gs_isSNo, VALUE : 1
undefined | 2022-03-28 22:34:31 info: NAME : gnlevel, VALUE : 5
undefined | 2022-03-28 22:34:31 info: during time : 161
undefined | 2022-03-28 22:34:31 info: WEB_ORG callProcedureSync success
undefined | 2022-03-28 22:34:50 info: URL : /krwlist
undefined | 2022-03-28 22:34:50 info: URL : /api/list/myBS1
undefined | 2022-03-28 22:34:50 info: start decryptAll..
undefined | 2022-03-28 22:34:50 info: callProcedureSync start - SP_MY_BS1
undefined | 2022-03-28 22:34:50 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:50 info: NAME : ALL_PAGING, VALUE : 100
undefined | 2022-03-28 22:34:50 info: NAME : CUR_PAGING, VALUE : 1
undefined | 2022-03-28 22:34:50 info: NAME : PAGING_NO, VALUE : 10
undefined | 2022-03-28 22:34:50 info: URL : /api/common/getMyMainBS1
undefined | 2022-03-28 22:34:50 info: start decryptAll..
undefined | 2022-03-28 22:34:50 info: callProcedureSync start - SP_MY_MAIN_BS1
undefined | 2022-03-28 22:34:50 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:50 info: during time : 15
undefined | 2022-03-28 22:34:50 info: SP_MY_BS1 callProcedureSync success
undefined | 2022-03-28 22:34:50 info: callProcedureSync start - SP_MY_BS1_CNT
undefined | 2022-03-28 22:34:50 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:50 info: during time : 4
undefined | 2022-03-28 22:34:50 info: SP_MY_MAIN_BS1 callProcedureSync success
undefined | 2022-03-28 22:34:50 info: during time : 8
undefined | 2022-03-28 22:34:50 info: SP_MY_BS1_CNT callProcedureSync success
undefined | 2022-03-28 22:34:53 info: URL : /ksplist
undefined | 2022-03-28 22:34:53 info: URL : /api/list/myBS2
undefined | 2022-03-28 22:34:53 info: start decryptAll..
undefined | 2022-03-28 22:34:53 info: callProcedureSync start - SP_MY_BS2
undefined | 2022-03-28 22:34:53 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:53 info: NAME : ALL_PAGING, VALUE : 100
undefined | 2022-03-28 22:34:53 info: NAME : CUR_PAGING, VALUE : 1
undefined | 2022-03-28 22:34:53 info: NAME : PAGING_NO, VALUE : 10
undefined | 2022-03-28 22:34:53 info: URL : /api/common/getMyMainBS2
undefined | 2022-03-28 22:34:53 info: start decryptAll..
undefined | 2022-03-28 22:34:53 info: callProcedureSync start - SP_MY_MAIN_BS2
undefined | 2022-03-28 22:34:53 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:53 info: during time : 9
undefined | 2022-03-28 22:34:53 info: SP_MY_MAIN_BS2 callProcedureSync success
undefined | 2022-03-28 22:34:53 info: during time : 16
undefined | 2022-03-28 22:34:53 info: SP_MY_BS2 callProcedureSync success
undefined | 2022-03-28 22:34:53 info: callProcedureSync start - SP_MY_BS2_CNT
undefined | 2022-03-28 22:34:53 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:53 info: during time : 11
undefined | 2022-03-28 22:34:53 info: SP_MY_BS2_CNT callProcedureSync success
undefined | 2022-03-28 22:34:55 info: URL : /stocklist
undefined | 2022-03-28 22:34:55 info: URL : /api/list/myBS3
undefined | 2022-03-28 22:34:55 info: start decryptAll..
undefined | 2022-03-28 22:34:55 info: callProcedureSync start - SP_MY_BS3
undefined | 2022-03-28 22:34:55 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:55 info: NAME : ALL_PAGING, VALUE : 100
undefined | 2022-03-28 22:34:55 info: NAME : CUR_PAGING, VALUE : 1
undefined | 2022-03-28 22:34:55 info: NAME : PAGING_NO, VALUE : 10
undefined | 2022-03-28 22:34:55 info: URL : /api/common/getMyMainBS3
undefined | 2022-03-28 22:34:55 info: start decryptAll..
undefined | 2022-03-28 22:34:55 info: callProcedureSync start - SP_MY_MAIN_BS3
undefined | 2022-03-28 22:34:55 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:55 info: during time : 10
undefined | 2022-03-28 22:34:55 info: SP_MY_MAIN_BS3 callProcedureSync success
undefined | 2022-03-28 22:34:55 info: during time : 12
undefined | 2022-03-28 22:34:55 info: SP_MY_BS3 callProcedureSync success
undefined | 2022-03-28 22:34:55 info: callProcedureSync start - SP_MY_BS3_CNT
undefined | 2022-03-28 22:34:55 info: NAME : D_UID, VALUE : pgk5034
undefined | 2022-03-28 22:34:55 info: during time : 8
undefined | 2022-03-28 22:34:55 info: SP_MY_BS3_CNT callProcedureSync success
undefined | 2022-03-28 22:34:57 info: URL : /org
undefined | 2022-03-28 22:34:59 info: URL : /product
undefined | 2022-03-28 22:34:59 info: URL : /api/list/getProduct
undefined | 2022-03-28 22:34:59 info: start decryptAll..
undefined | 2022-03-28 22:34:59 info: callProcedureSync start - SP_PRODUCT
undefined | 2022-03-28 22:34:59 info: during time : 16
undefined | 2022-03-28 22:34:59 info: SP_PRODUCT callProcedureSync success
undefined | 2022-03-28 22:35:00 info: URL : /productlist
undefined | 2022-03-28 22:35:00 info: URL : /api/list/myList
undefined | 2022-03-28 22:35:00 info: start decryptAll..
undefined | 2022-03-28 22:35:00 info: callProcedureSync start - SP_MY_SALE_LIST
undefined | 2022-03-28 22:35:00 info: NAME : GS_ID, VALUE : pgk5034
undefined | 2022-03-28 22:35:00 info: NAME : ALL_PAGING, VALUE : 100
